FULL_DATE,VARIANT,AVG_MAO,STD_MAO,AVG_GMV_L28,SUM_GMV_L28,STD_GMV_L28,N_OBS
2022-02-10 00:00:00.000,var_show,0.011457,0.1064189833,2.10036046,553276638.41,33.273964319,263419851
2022-03-19 00:00:00.000,control,0.009742,0.09821914274,1.86180601,11063949.77,30.444057632,5942590
2022-04-23 00:00:00.000,control,0.009136,0.09514199914,1.74216470,11406741.48,29.952114046,6547453
2022-05-26 00:00:00.000,control,0.008108,0.08968277427,1.55185897,11359699.25,28.809697037,7320059
2022-08-07 00:00:00.000,control,0.006746,0.08185963596,1.30648195,11576730.01,27.465404825,8860995
2022-08-31 00:00:00.000,control,0.006454,0.08008120878,1.25707185,11712637.51,27.574666829,9317397
2021-04-20 00:00:00.000,var_show,0.020869,0.142944045,3.66088332,242166934.03,38.970592435,66149864
2021-06-19 00:00:00.000,var_show,0.012801,0.1124144119,2.33372678,244031877.10,32.263138077,104567458
2021-07-21 00:00:00.000,var_show,0.011026,0.104427008,1.98746318,254981459.77,30.094977109,128294935
2021-06-11 00:00:00.000,control,0.013509,0.1154426264,2.43754431,4915339.79,32.498681555,2016513
2021-08-15 00:00:00.000,control,0.011158,0.1050380883,1.99245837,5874279.33,29.876423799,2948257
2021-10-11 00:00:00.000,control,0.010201,0.1004838295,1.81337901,6667430.13,28.822698738,3676799
2020-10-28 00:00:00.000,var_show,0.065726,0.2478023406,8.26210669,61586982.58,50.114022076,7454150
2020-11-07 00:00:00.000,var_show,0.061816,0.2408194344,8.06840658,75093942.91,50.611113492,9307159
2021-02-01 00:00:00.000,var_show,0.041442,0.1993088056,6.98817441,231347238.49,52.114357774,33105533
2020-12-25 00:00:00.000,control,0.046565,0.2107059563,6.94645410,3175675.69,48.517661746,457165
2021-01-11 00:00:00.000,control,0.045016,0.2073403,6.89993076,3856730.10,50.295365347,558952
2021-02-17 00:00:00.000,control,0.037417,0.1897814533,6.22395242,4813760.40,48.272926184,773425
2021-03-08 00:00:00.000,control,0.030933,0.1731357849,5.22339700,4751118.34,45.114631263,909584
2021-03-27 00:00:00.000,control,0.025432,0.1574325252,4.49408657,4829264.53,42.700995333,1074582
2020-09-04 00:00:00.000,control,0.133837,0.3404849483,13.10468491,327525.39,48.290001741,24993
2021-12-19 00:00:00.000,control,0.010662,0.1027083249,1.91562391,8854094.15,29.74531448,4622042
2022-01-11 00:00:00.000,var_show,0.012115,0.1093983546,2.08610588,506831024.46,31.452661342,242955561
2022-03-10 00:00:00.000,var_show,0.009979,0.09939315872,1.85959343,530356722.19,31.003557558,285200363
2022-04-14 00:00:00.000,control,0.009170,0.09532051196,1.75350499,11157766.18,30.04951108,6363122
2022-06-06 00:00:00.000,control,0.007570,0.08667756342,1.47782734,11281713.24,28.22909732,7633986
2022-07-13 00:00:00.000,var_show,0.007050,0.08366600265,1.31603635,536447826.45,29.582467859,407623866
2022-08-27 00:00:00.000,var_show,0.006402,0.07975587753,1.23502923,559201447.09,26.267265067,452783979
